
2024/12/10 (09:28:03) | ===> btop++ v.1.4.0
2024/12/10 (09:28:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (18:26:19) | ===> btop++ v.1.4.0
2024/12/28 (18:26:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (13:59:28) | ===> btop++ v.1.4.0
2025/01/06 (13:59:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (11:00:21) | ===> btop++ v.1.4.0
2025/01/12 (11:00:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (13:07:46) | ===> btop++ v.1.4.0
2025/01/20 (13:07:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (14:08:04) | ===> btop++ v.1.4.0
2025/01/20 (14:08:04) | WARNING: Intel GPU: Failed to initialize PMU
